School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Anderson High School,1933,,,,,-85.690682,40.065838
Zionsville Community High Sch,1928,,,,,-86.2729923,39.9587127
Harrison (W.Laf.) High Sch,1905,,,,,-86.91452620000001,40.499183
Goshen High School,1866,,,,,-85.8230976,41.5807053
Terre Haute North Vigo High Sch,1854,,,,,-87.3634658,39.4928774
F.W. Snider High School,1850,,,,,-85.08243139999999,41.1077269
Whiteland Community High Sch,1845,,,,,-86.0841139,39.5513204
New Albany Senior High School,1843,,,,,-85.8110215,38.2987932
S.B. Adams High School,1794,,,,,-86.2228372,41.6670326
Terre Haute South Vigo High Sch,1778,,,,,-87.4082875,39.4254888
Kokomo High School,1769,,,,,-86.1575594,40.4560891
McCutcheon High School,1769,,,,,-86.9031813,40.3509069
Decatur Central High School,1767,,,,,-86.27685989999999,39.6877735
Michigan City High Sch,1753,,,,,-86.8628109,41.6782169
Floyd Central High School,1746,,,,,-85.930774,38.3327561
Bloomington High School South,1742,,,,,-86.529005,39.143062
Concord Community High School,1716,,,,,-85.9286636,41.635752
Bloomington High School North,1709,,,,,-86.5490246,39.1991004
Elkhart Central High School,1673,,,,,-85.95888959999999,41.6848123
F.W. North Side High School,1672,,,,,-85.13520179999999,41.0977081
Elkhart Memorial High School,1648,,,,,-86.0138757,41.6968351
Plainfield High School,1636,,,,,-86.378766,39.6818979
Evans. North High School,1614,,,,,-87.549641,38.005881
Huntington North High School,1575,,,,,-85.5105274,40.8918853
Muncie Central High School,1551,,,,,-85.3877266,40.2011017
Bedford-North Lawrence High School,1542,,,,,-86.442403,38.881746
Columbus East High School,1534,,,,,-85.8861404,39.1950999
Franklin Community High Sch,1533,,,,,-86.0867306,39.5117904
Greenfield-Central High Sch,1510,,,,,-85.78150699999999,39.7929609
Munster High School,1510,,,,,-87.5048099,41.5545436
Martinsville High School,1509,,,,,-86.411796,39.419674
Seymour Senior High School,1498,,,,,-85.9062532,38.9562509
Mishawaka High School,1470,,,,,-86.1616794,41.6630632
Pendleton Heights High School,1421,,,,,-85.7353144,39.9973648
F.W. South Side High School,1409,,,,,-85.1367542,41.05239
Mooresville High School,1402,,,,,-86.37710799999999,39.6187343
Northridge High School,1392,,,,,-85.7351776,41.66964100000001
Evans. F. J. Reitz High Sch,1355,,,,,-87.60554900000001,37.972065
Hammond Morton Senior High School,1348,,,,,-87.4398167,41.5864118
F.W. Wayne High School,1340,,,,,-85.1401401,41.0007198
Jennings County High School,1332,,,,,-85.6414446,38.998923
Richmond High School,1331,,,,,-84.9022281,39.8224975
East Central High School,1302,,,,,-84.9742498,39.27899050000001
Hobart High School,1265,,,,,-87.23205109999999,41.5207163
East Noble High School,1262,,,,,-85.25746620000001,41.4347673
S.B. Riley High School,1249,,,,,-86.243377,41.654121
