School Name,Totals,Participation,Host Sectionals,Host Regionals,Host Semi-State,Longitude,Latitude
Highland High School,1117,1,0,0,0,-87.4592643,41.5466717
Connersville Sr High School,1111,1,1,0,0,-85.160944,39.636354
Jasper High School,1093,1,1,0,0,-86.95074,38.4027107
Kankakee Valley High School,1083,1,0,0,0,-87.1201533,41.1856481
F.W. Bishop Dwenger HS,1075,1,0,0,0,-85.1254925,41.1318002
Jay County High School,1060,1,0,0,0,-85.0237727,40.4297071
Columbia City High School,1056,1,0,0,0,-85.4841256,41.1628561
Marion High School,1053,1,1,1,0,-85.6686289,40.5387549
Gary West Side Leadership Acad.,1046,1,0,0,0,-87.4078595,41.59385
Northview High School,1024,1,0,0,0,-87.1661818,39.5159437
New Castle Chrysler High Sch,1023,1,0,0,0,-85.3765877,39.9124869
New Haven High School,996,1,0,0,1,-85.0121387,41.0652957
New Prairie High School,993,1,0,1,1,-86.563983,41.683073
Lebanon Senior High School,976,1,0,0,0,-86.4624662,40.058319
Madison Consolidated High Sch,966,1,0,0,0,-85.4025678,38.7733285
Beech Grove Sr High School,949,1,0,0,0,-86.0761321,39.7114249
Wawasee High School,945,1,0,0,0,-85.7567312,41.4179325
Silver Creek High School,909,1,0,0,0,-85.7552273,38.4077876
S.B. Washington High School,906,1,0,0,0,-86.3142219,41.67497
Hammond Gavit Mdl/High Sch,904,1,1,0,0,-87.4875017,41.5762616
Boonville High School,903,1,0,0,0,-87.2800146,38.0528013
S.B. Saint Joseph's HS,896,1,0,0,0,-86.2382062,41.6812857
NorthWood High School,883,1,0,0,0,-85.9993368,41.4616274
Angola High School,876,1,0,0,0,-84.971477,41.6317985
Leo Junior/Senior High School,872,1,0,0,0,-85.017715,41.2198405
Delta High School,871,1,1,1,0,-85.3480724,40.278276
South Dearborn High School,868,1,1,0,0,-84.9285637,39.06395
Frankfort Senior High School,861,1,0,0,0,-86.485168,40.281529
Western High School,855,1,0,0,0,-86.2429388,40.437402
Mississinewa High School,845,1,0,0,0,-85.6134193,40.4966375
Franklin County High,836,1,0,0,0,-84.998764,39.428562
Herron High School,827,1,0,0,0,-86.1552952,39.7887861
Owen Valley Community HS,813,1,0,0,0,-86.781547,39.288654
Culver Academies,812,1,1,1,0,-86.4047044,41.2250559
Edgewood High School,811,1,0,0,0,-86.634036,39.23586
Hammond High School,810,1,0,0,0,-87.509568,41.605226
Evansville Bosse High School,802,1,0,0,0,-87.540014,37.963822
Yorktown High School,801,1,0,0,0,-85.493758,40.183124
Griffith Senior High School,800,1,0,0,0,-87.436207,41.5327164
Brebeuf Jesuit Preparatory School,794,1,1,0,0,-86.2102522,39.9106145
Scottsburg Senior High School,794,1,0,0,0,-85.7812543,38.6806275
Danville Community High Sch,791,1,0,0,0,-86.5401579,39.7569997
F.W. Concordia Lutheran HS,781,1,0,0,0,-85.117668,41.109845
Twin Lakes Senior High School,773,1,0,0,0,-86.7701417,40.7420758
Norwell High School,769,1,0,0,0,-85.2020587,40.8283587
Hammond Clark Md/HS,760,1,0,0,0,-87.5068384,41.6782559
Guerin Catholic HS,758,1,0,0,0,-86.08685,40.010302
Greensburg Community High Sch,750,1,0,0,0,-85.4684102,39.3409772
Indpls. Crispus Attucks Medical Magnet,745,1,0,0,0,-86.1691992,39.7828316
Rushville Consolidated High Sch,742,1,0,1,0,-85.4490007,39.6211095
Washington High School,742,1,0,0,0,-87.167995,38.6588562
West Lafayette Jr/Sr High Sch,734,1,0,0,0,-86.9118518,40.436141
Batesville High School,733,1,0,0,0,-85.2340038,39.3109449
Hamilton Heights High School,728,1,0,0,0,-86.0155482,40.1655542
West Noble High School,723,1,1,1,0,-85.5813088,41.4258661
Corydon Central High School,716,1,0,0,0,-86.1193947,38.2009798
Vincennes Lincoln High School,716,1,0,0,0,-87.5000211,38.6509208
Charlestown Senior High Sch,707,1,0,0,0,-85.6669034,38.4556156
Crawfordsville Sr High School,702,1,0,0,0,-86.9074441,40.0209269
Indpls. Bishop Chatard HS,700,1,0,0,0,-86.1273429,39.8618738
Indpls. Emmerich Manual High School,696,1,0,0,0,-86.1535792,39.7330998
Indpls. Northwest High School,696,1,0,0,0,-86.258554,39.8146511
Bellmont Senior High School,691,1,1,0,0,-84.9072224,40.8355568
Evans. Reitz Memorial HS,690,1,0,0,0,-87.536815,37.971318
North Harrison High School,689,1,0,0,0,-86.1441722,38.322028
Mishawaka Marian HS,688,1,0,0,0,-86.1973249,41.6498136
Hanover Central High Sch,680,1,0,0,0,-87.457879,41.3785593
Maconaquah High School,666,1,0,0,0,-86.065803,40.651725
Calumet High School,664,1,0,0,0,-87.4092115,41.5476375
Peru High School,659,1,0,0,0,-86.0728159,40.760488
Mt. Vernon High School,658,1,0,0,0,-85.84411,39.901374
Brown County High School,657,1,1,1,1,-86.2439528,39.2046253
Gibson Southern High School,654,1,0,0,0,-87.6347127,38.2382679
Indpls. Broad Ripple HS for Prfm Arts,635,1,0,0,0,-86.137492,39.8684937
Indian Creek Sr High Sch,631,1,0,0,0,-86.1607531,39.4073802
Tri-West Senior High School,624,1,0,0,0,-86.5420854,39.877131
North Montgomery High School,620,1,0,0,0,-86.9068336,40.1246682
Heritage Hills High School,619,1,0,0,0,-86.9881688,38.1197533
Lawrenceburg High School,619,1,0,0,0,-84.8532308,39.0997072
Princeton Comm High Sch,618,1,0,0,0,-87.5704815,38.3690032
F.W. Bishop Luers HS,617,1,0,0,0,-85.1334922,41.0333173
Jimtown High School,605,1,0,0,0,-86.0239964,41.6372322
Heritage Jr/Sr High School,596,1,0,0,0,-84.962507,40.975684
Tippecanoe Valley High School,595,1,0,0,0,-86.0393392,41.1095802
Sullivan High School,591,1,0,0,0,-87.4113001,39.1054066
Garrett High School,590,1,0,0,0,-85.127193,41.348105
Pike Central High Sch,588,1,0,1,0,-87.2423887,38.4343374
Benton Central Jr-Sr High Sch,585,1,1,0,0,-87.2425641,40.5640606
Knox Community High School,584,1,0,0,0,-86.6260143,41.2854565
Glenn High School,580,1,0,0,0,-86.4799099,41.4574282
Brownstown Central High Sch,577,1,0,0,0,-86.0457121,38.8859036
Lakeland High School,577,1,0,0,0,-85.4103137,41.6539377
West Vigo High School,577,1,0,0,0,-87.4896802,39.4606165
Salem High School,573,1,0,0,0,-86.1067916,38.6116598
Fairfield Jr-Sr High School,565,1,0,0,0,-85.7679462,41.517725
Indpls. Cardinal Ritter HS,563,1,0,0,0,-86.2159043,39.8127943
Northwestern Sr High Sch,562,1,0,0,0,-86.2050618,40.5254249
Gary Lighthouse Charter School,560,1,0,0,0,-87.3572796,41.543413
Blackford High School,558,1,0,0,0,-85.3722819,40.4848916
Greencastle Senior High Sch,556,1,0,0,0,-86.8433368,39.6431741
Wheeler High School,553,1,0,0,0,-87.1791144,41.4786881
Southmont Sr High School,550,1,0,0,0,-86.9055519,39.9472479
South Vermillion High School,546,1,0,0,0,-87.4139025,39.6886356
Muncie Burris Laboratory School,535,1,0,0,0,-85.4122746,40.1967204
Woodlan Jr/Sr High School,534,1,0,0,0,-84.9191272,41.1235004
Rensselaer Central High Sch,531,1,1,0,0,-87.1362557,40.9345016
Southridge High School,531,1,0,0,0,-86.9651751,38.274853
Evansville Mater Dei High School,529,1,1,0,0,-87.615867,37.988803
Western Boone Jr-Sr High School,529,1,0,0,0,-86.6131316,40.0563338
Hammond Bishop Noll Institute,528,1,0,0,0,-87.491937,41.6283089
Monrovia High School,527,1,0,0,0,-86.478646,39.5755679
Eastbrook High School,525,1,0,0,0,-85.5052328,40.5454527
Rochester Community High Sch,524,1,0,0,0,-86.2243472,41.0577808
Tipton High School,524,1,0,0,0,-86.0400686,40.2739755
Speedway Senior High School,523,1,0,0,0,-86.252904,39.80084
Manchester Jr-Sr High School,511,1,0,0,0,-85.7726668,41.0093581
Oak Hill High School,511,1,0,0,0,-85.8212287,40.5798803
Alexandria-Monroe High School,506,1,0,0,0,-85.6782961,40.2520348
Boone Grove High School,499,1,0,0,0,-87.1658616,41.3962693
North Posey Sr High Sch,498,1,0,0,0,-87.8019057,38.1421044
Bremen Senior High School,497,1,0,0,0,-86.1419206,41.4441506
Andrean High School,492,1,0,0,0,-87.3337726,41.5102973
Eastern (Greentown) Jr & Sr HS,491,1,0,0,0,-85.97085,40.4728487
Mitchell High School,491,1,0,0,0,-86.480385,38.7366465
Whitko High School,486,1,0,0,0,-85.6354421,41.0829323
Frankton Jr-Sr High Sch,480,1,0,0,0,-85.7727518,40.2207185
Eastern (Pekin) High Sch,473,1,0,0,0,-86.0014731,38.5146014
Lapel Sr High School,470,1,0,0,0,-85.8404654,40.0773686
Paoli Jr & Sr High Sch,468,1,0,0,0,-86.4773526,38.5503789
Triton Central High School,468,1,0,0,0,-85.8735445,39.611196
Cass Jr-Sr High School,466,1,0,0,0,-86.2514139,40.6627281
Clarksville Senior High Sch,464,1,0,0,0,-85.7673053,38.2990366
Centerville Sr High School,463,1,0,0,0,-84.9991623,39.8131337
Gary Roosevelt Car & Tech Acad,458,1,0,0,0,-87.3455261,41.5733508
Cascade Senior High School,457,1,0,0,0,-86.559061,39.665807
Crawford County Jr-Sr HS,457,1,1,1,0,-86.352968,38.319303
Indpls. George Washington Community,457,1,0,0,0,-86.1991647,39.7655047
North Putnam Sr High Sch,456,1,0,0,0,-86.8010151,39.7892971
Indpls. Scecina Memorial School,449,1,0,0,0,-86.0853481,39.7870422
Bowman Leadership Academy,447,1,0,0,0,-87.349441,41.5996678
Elwood Community High School,447,1,0,0,0,-85.835536,40.2904229
Winchester Community High Sch,446,1,0,0,0,-84.9750683,40.1810243
Union County High School,444,1,0,0,0,-84.9208953,39.635175
Bluffton High School,443,1,0,0,0,-85.1624555,40.7236325
Shenandoah High School,442,1,0,0,0,-85.5255344,40.0057614
North Newton Jr-Sr High Sch,440,1,0,0,0,-87.4255265,41.0357011
River Forest Jr-Sr High School,439,1,0,0,0,-87.2797908,41.5589266
Providence HS,437,1,0,0,0,-85.783607,38.3065885
Whiting High School,434,1,0,0,0,-87.4937826,41.6810164
Delphi Community High School,430,1,0,0,0,-86.6649688,40.5752004
Wabash High School,427,1,0,0,0,-85.8250889,40.806979
Eastern Hancock High Sch,425,1,0,0,0,-85.6099072,39.8241433
Tell City Jr-Sr High School,421,1,0,0,0,-86.7634069,37.9546249
Northeastern High School,419,1,0,0,0,-84.9121811,39.9344466
Westview Jr-Sr High School,416,1,0,0,0,-85.5397318,41.6174014
Prairie Heights Sr High Sch,415,1,0,0,0,-85.2002749,41.639249
Taylor High School,413,1,0,0,0,-86.0547709,40.4353277
Milan High School,411,1,0,0,0,-85.128011,39.1293353
Heritage Christian,407,1,0,0,0,-86.05962,39.888176
South Spencer High School,407,1,0,0,0,-87.1063928,37.9035151
Switzerland Co Senior High Sch,404,1,0,0,0,-85.0798314,38.7413049
Park Tudor School (9-12),403,1,0,0,0,-86.1480418,39.8843004
Madison-Grant High School,401,1,0,0,0,-85.6736855,40.384119
North Knox High School,398,1,0,0,0,-87.3132612,38.8350125
Forest Park Jr-Sr High Sch,397,1,0,0,0,-86.857842,38.2276191
Wapahani High School,396,1,0,0,0,-85.2639447,40.1676513
Austin High School,394,1,0,0,0,-85.8003737,38.7398727
Central Noble High School,393,1,0,0,0,-85.4200576,41.3976883
Cloverdale High School,382,1,0,0,0,-86.7912677,39.5119005
Knightstown High School,381,1,0,0,0,-85.5420083,39.7925592
Lake Station Edison Jr-Sr HS,381,1,0,0,0,-87.245178,41.5771221
Perry Central Jr-Sr High Sch,379,1,0,0,0,-86.60415,38.111347
Eastern Greene High School,377,1,0,0,0,-86.7374855,39.0308869
Winamac Community High School,377,1,0,0,0,-86.5963694,41.0458267
Adams Central High School,375,1,0,0,0,-84.942426,40.746696
Seeger Memorial Jr-Sr HS,375,1,0,0,0,-87.3881674,40.2981631
Eastside Junior-Senior High Sch,372,1,0,0,0,-84.86329,41.43152
Indpls. Arlington Community HS,371,1,0,0,0,-86.0635161,39.8442112
Hebron High School,370,1,0,0,0,-87.1964951,41.3139265
Monroe Central Jr-Sr High Sch,370,1,0,0,0,-85.1676079,40.191922
F.W. Canterbury School,369,1,0,0,0,-85.2119561,41.0540212
South Adams High School,369,1,0,0,0,-84.9555679,40.6663905
North Judson-San Pierre High Sch,368,1,0,0,0,-86.7888486,41.2103777
Churubusco Jr-Sr High School,367,1,0,0,0,-85.3236374,41.2309817
Linton-Stockton High School,366,1,0,0,0,-87.1665422,39.0415839
South Knox Middle-High School,366,1,1,0,0,-87.422056,38.6354339
LaVille Jr-Sr High School,363,1,0,0,0,-86.3031157,41.4781872
South Putnam High School,363,1,1,0,0,-86.8158314,39.5828639
Indpls. Shortridge Law & Public Policy,361,1,0,0,0,-86.1556273,39.8181711
Signature School Inc,361,1,0,0,0,-87.5686546,37.9729899
Southwestern (Hanover) Middle/Sr HS,359,1,1,0,0,-85.4728999,38.710169
Indpls. Howe Comm High School,357,1,0,0,0,-86.0855245,39.7681112
South Ripley High School,354,1,0,0,0,-85.2502114,39.0510622
Carroll (Flora) Jr-Sr High Sch,353,1,0,0,0,-86.4804912,40.545908
Fountain Central High School,350,1,0,0,0,-87.2266601,40.1062136
Henryville Jr & Sr High Sch,349,1,0,0,0,-85.7705934,38.543589
Irvington Preparatory Academy,342,1,0,0,0,-86.068413,39.765638
Hagerstown Jr-Sr High School,341,1,0,0,0,-85.161254,39.920567
Covenant Christian (Indpls.) HS,334,1,0,0,0,-86.2930584,39.7930563
Cambridge City Lincoln Sr High Sch,331,1,0,0,0,-85.1651465,39.8158337
Clinton Prairie Jr-Sr HS,330,1,0,0,0,-86.5920069,40.251284
North Decatur Jr-Sr High Sch,329,1,0,0,0,-85.477649,39.3830281
Sheridan High School,329,1,0,0,0,-86.2153577,40.140363
North Miami Middle/High School,320,1,0,0,0,-86.066022,40.895989
Rossville Senior High School,313,1,0,0,0,-86.5976297,40.4140594
South Decatur Jr-Sr High Sch,313,1,0,0,0,-85.5766525,39.2068084
Covington Community High Sch,309,1,0,0,0,-87.3953317,40.1431228
Tecumseh Jr-Sr High Sch,309,1,0,0,0,-87.3405531,38.1943771
