School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Indian Creek Sr High Sch,631,,,,,,
Tri-West Senior High School,624,,,,,,
North Montgomery High School,620,,,,,,
Heritage Hills High School,619,,,,,,
Lawrenceburg High School,619,,,,,,
Princeton Comm High Sch,618,,,,,,
F.W. Bishop Luers HS,617,,,,,,
Jimtown High School,605,,,,,,
Heritage Jr/Sr High School,596,,,,,,
Tippecanoe Valley High School,595,,,,,,
Sullivan High School,591,,,,,,
Garrett High School,590,,,,,,
Pike Central High Sch,588,,,,,,
Benton Central Jr-Sr High Sch,585,,,,,,
Knox Community High School,584,,,,,,
Glenn High School,580,,,,,,
Brownstown Central High Sch,577,,,,,,
Lakeland High School,577,,,,,,
West Vigo High School,577,,,,,,
Salem High School,573,,,,,,
Fairfield Jr-Sr High School,565,,,,,,
Indpls. Cardinal Ritter HS,563,,,,,,
Northwestern Sr High Sch,562,,,,,,
Gary Lighthouse Charter School,560,,,,,,
Blackford High School,558,,,,,,
Greencastle Senior High Sch,556,,,,,,
Wheeler High School,553,,,,,,
Southmont Sr High School,550,,,,,,
South Vermillion High School,546,,,,,,
Muncie Burris Laboratory School,535,,,,,,
Woodlan Jr/Sr High School,534,,,,,,
Rensselaer Central High Sch,531,,,,,,
Southridge High School,531,,,,,,
Evans. Mater Dei HS,529,,,,,,
Western Boone Jr-Sr High School,529,,,,,,
Hammond Bishop Noll Institute,528,,,,,,
Monrovia High School,527,,,,,,
Eastbrook High School,525,,,,,,
Rochester Community High Sch,524,,,,,,
Tipton High School,524,,,,,,
Speedway Senior High School,523,,,,,,
Manchester Jr-Sr High School,511,,,,,,
Oak Hill High School,511,,,,,,
Alexandria-Monroe High School,506,,,,,,
Boone Grove High School,499,,,,,,
North Posey Sr High Sch,498,,,,,,
Bremen Senior High School,497,,,,,,
Andrean High School,492,,,,,,
Eastern (Greentown) Jr & Sr HS,491,,,,,,
Mitchell High School,491,,,,,,
Whitko High School,486,,,,,,
Frankton Jr-Sr High Sch,480,,,,,,
Eastern (Pekin) High Sch,473,,,,,,
Lapel Sr High School,470,,,,,,
Paoli Jr & Sr High Sch,468,,,,,,
